id,key,value,type
49139479,oneway,yes,regular
49139479,highway,primary,regular
49139479,en,Middle Yanggao Road,name
49209349,name,盐山路,regular
49209349,highway,residential,regular
49209349,en,Yanshan Road,name
49555847,name,泰山西路,regular
49555847,oneway,yes,regular
49555847,highway,primary,regular
49666729,highway,service,regular
50259048,leisure,park,regular
50330646,building,yes,regular
50510304,highway,service,regular
50900182,foot,yes,regular
50900182,highway,footway,regular
51295759,cycleway,opposite,regular
51295759,highway,residential,regular
51295759,name,凝和路,regular
51295759,en,Ninghe Road,name
51295759,oneway,yes,regular
51731041,name,京沪线,regular
51731041,gauge,1435,regular
51731041,en,Jinghu Line,name
51731041,railway,rail,regular
51731041,service,yard,regular
51731041,voltage,25000,regular
51731041,frequency,50,regular
51731041,electrified,contact_line,regular
51964967,landuse,commercial,regular
52209105,name,京沪线,regular
52209105,gauge,1435,regular
52209105,en,Jinghu Line,name
52209105,railway,rail,regular
52209105,service,yard,regular
52698975,ref,G9211,regular
52698975,lanes,2,regular
52698975,oneway,yes,regular
52698975,highway,motorway,regular
53620964,name,东泰林路,regular
53620964,oneway,no,regular
53620964,highway,tertiary,regular
53620964,en,Dongtailin Road,name
53620964,cycleway,lane,regular
55510802,source,Yahoo hires,regular
55510802,natural,water,regular
56851811,source,GPS,regular
56851811,highway,unclassified,regular
58649680,highway,primary,regular
58649680,name,天山路,regular
58649680,en,Tianshan Road,name
59685394,highway,primary_link,regular
61014720,highway,service,regular
61273070,highway,secondary,regular
61273070,source,GPS,regular
62115293,highway,secondary,regular
62115293,name,东二环路,regular
62115293,source,GPS,regular
62125996,highway,steps,regular
62681852,name,中环路,regular
62681852,lanes,4,regular
62681852,bridge,yes,regular
62681852,oneway,yes,regular
62681852,highway,trunk,regular
62681852,en,Middle Ring Road,name
64378279,boat,yes,regular
64378279,name,黄浦江,regular
64378279,en,Huangpu River,name
64378279,source,PGS,regular
64378279,waterway,riverbank,regular
65689843,lanes,1,regular
65689843,bridge,yes,regular
65689843,oneway,yes,regular
65689843,highway,primary_link,regular
67130762,name,翔殷路小学,regular
67130762,amenity,school,regular
67130762,en,Xiangyin Road Elementary,name
68109992,highway,road,regular
68109992,source,GPS,regular
68586512,cycleway,lane,regular
68586512,highway,primary,regular
68586512,lanes,3,regular
68586512,name,中山北路,regular
68586512,en,North Zhongshan Road,name
68586512,oneway,yes,regular
68744886,name,五洲大道/绕城高速/浦东国际机场/崇明,regular
68744886,oneway,yes,regular
68744886,highway,motorway_link,regular
68744886,en,Wuzhou Avenue/Raocheng Expressway/Pudong International Airport/Chongming,name
68867612,name,中环路,regular
68867612,lanes,4,regular
68867612,oneway,yes,regular
68867612,highway,trunk,regular
68867612,en,Middle Ring Road,name
68992983,name,华灵路,regular
68992983,layer,2,regular
68992983,bridge,yes,regular
68992983,oneway,yes,regular
68992983,highway,trunk_link,regular
68992983,en,Hualing Road,name
69548414,source,GPS,regular
69548414,highway,unclassified,regular
69705276,highway,primary,regular
69705276,lanes,2,regular
69705276,maxspeed,100,regular
69705276,name,苏虞张公路,regular
69705276,oneway,yes,regular
69705276,source,GPS,regular
69707565,ref,G312,regular
69707565,name,城北西路,regular
69707565,oneway,yes,regular
69707565,highway,primary,regular
69855520,highway,service,regular
70650727,name,北翟路,regular
70650727,lanes,3,regular
70650727,oneway,yes,regular
70650727,source,GPS,regular
70650727,highway,primary,regular
70650727,en,Beidi Road,name
70852464,oneway,yes,regular
70852464,highway,primary_link,regular
70949040,name,金海路,regular
70949040,highway,tertiary,regular
70989401,name,长华路,regular
70989401,highway,tertiary,regular
70989401,en,Changhua Road,name
71196985,source,PGS,regular
71196985,waterway,riverbank,regular
71261275,name,同泰北路,regular
71261275,layer,1,regular
71261275,bridge,yes,regular
71261275,highway,residential,regular
71261275,en,North Tongtai Road,name
71291993,waterway,river,regular
71316455,name,陆家嘴环路地道,regular
71316455,lanes,3,regular
71316455,oneway,yes,regular
71316455,highway,secondary,regular
71316455,en,Lujiazui Ring Road Tunnel,name
71531766,access,private,regular
71531766,highway,service,regular
71754400,name,广纪路,regular
71754400,highway,residential,regular
71754400,en,Guangji Road,name
71836069,highway,service,regular
71899953,gauge,1435,regular
71899953,railway,subway,regular
71899953,service,yard,regular
71899953,voltage,1500,regular
71899953,frequency,0,regular
71899953,electrified,contact_line,regular
71976123,name,航城路,regular
71976123,highway,secondary,regular
71976123,en,Hangcheng Road,name
72083049,name,东安公园,regular
72083049,leisure,park,regular
72083049,en,Dong'an Park,name
72352242,name,国和路,regular
72352242,highway,tertiary,regular
72352242,en,Guohe Road,name
72352242,cycleway,lane,regular
73897807,highway,residential,regular
73897807,name,圆明园路,regular
73897807,en,Yuanmingyuan Road,name
73897807,en,Yuenmingyuen Road,old_name
74382573,name,殷行路,regular
74382573,oneway,yes,regular
74382573,highway,primary,regular
74382573,en,Yinhang Road,name
74382573,cycleway,lane,regular
74382573,maxspeed,40,regular
74427163,name,淞沪路,regular
74427163,oneway,yes,regular
74427163,highway,primary,regular
74427163,en,Songhu Road,name
74584525,name,东海三路,regular
74584525,access,private,regular
